Client_ID|Loan_Request|MTG_Due|Property_Value|Loan_Reason|Occupation|Years_At_Job|Derog_Report|DELQ_Line|Trade_Line|File_Age|Inquiry|Debt_Income_Ratio|CR_Score|Bad
ID#00091|$4,000|$7,000|$16,020|HomeImp|Other|18|0|1|23|85.8|2||340|1
ID#00092|$4,000|$66,000|$79,050|HomeImp|Other|1.8|2|0|6|279|1||391|0
ID#00093|$4,000||$45,760|HomeImp||0|0|0|0||0||459|0
ID#00094|$4,000|$62,000|$78,000|HomeImp|Other|4|0|0|15|109.6|0||436|0
ID#00095|$4,000|$64,240|$63,990|HomeImp|Sales|5|2|0|23|160.3|1||311|0
ID#00096|$4,000|$74,000|$93,000|HomeImp|ProfExe|2.6|1|3|9|186.6|||230|1
ID#00097|$4,000|$55,000|$59,000|DebtCon|Other|12|2|0|22|146.1|0||338|1
ID#00098|$4,000|$67,625|$80,698|HomeImp|Mgr|11||1|25|212.3|0|39.1|395|0
ID#00099|$4,000|$67,533|$71,865|HomeImp|Mgr|10||2|25|227.8|0|39.2|345|0
ID#00100|$4,100||$19,132|HomeImp|Other|0|0|0|19|100.8|0|33.8|443|1
ID#00101|$4,100|$58,500|$65,000|HomeImp|Other|8|1|2|15|63.9|2||218|1
ID#00102|$4,100|$57,992|$63,797|DebtCon|ProfExe|7|0|4|31|165.5|1|22.3|352|0
ID#00103|$4,200|$56,544|$59,218|HomeImp|Office|19|0|0|20|211|1|19|610|0
ID#00104|$4,200|$34,800|$50,225|HomeImp|Other|2|1|0|5|93.5|1||342|1
ID#00105|$4,200|$67,700|$77,000|DebtCon|Sales|4|0|0|31|128.8|0||471|0
ID#00106|$4,200|$44,000|$55,085|DebtCon||6||1|16|75.4|||379|0
ID#00107|$4,200|$66,272|$82,953|HomeImp|Other|3|0|0|15|110.3|0|43.5|357|0
ID#00108|$4,200|$50,216|$58,541|HomeImp|Office|19|0|0|19|209.9|0|20.2|610|0
ID#00109|$4,300|$71,206|$78,698|DebtCon|Sales|3|0|0|31|129.9|0|34.2|470|0
ID#00110|$4,300|$68,815|$79,852|HomeImp|Other|6|0|0|14|105.1|0|41.8|368|0
ID#00111|$4,300|$72,021|$80,027|HomeImp|Other|2|2|0|5|264|0|36.4|378|0
ID#00112|$4,400|$53,969|$63,869|DebtCon|ProfExe|7|0|3|30|162.4|0|23.6|406|0
ID#00113|$4,400||$60,250||||||||||503|0
ID#00114|$4,400|$53,091|$64,074|DebtCon|Office|14|1|3|17|89.9|0|39.2|174|1
ID#00115|$4,500|$66,127|$79,087|HomeImp|Other|4|1|0|15|81.3|0|40.7|323|0
ID#00116|$4,500||$77,182|||||||||25.2|496|0
ID#00117|$4,500|$39,000|$66,000|HomeImp|Other|1|0|0|19|170.4|1||440|1
ID#00118|$4,500|$71,082|$79,247|HomeImp|Other|4|0|0|14|118.8|0|41.4|377|0
ID#00119|$4,500||$49,044|HomeImp||0|0|0|0||0|11.7|632|0
ID#00120|$4,500|$57,000||HomeImp|Other|5|||13|222.6|1||454|1
ID#00121|$4,500|$34,184|$46,000|HomeImp|Mgr|3.5|0|1|22|122.6|2||305|1
ID#00122|$4,500|$66,517|$87,000|DebtCon|ProfExe|10|0|4|34|125.8|0||190|1
ID#00123|$4,500|$45,500|$50,000|HomeImp|Other|6|0|0|18|86.2|0||431|0
ID#00124|$4,500|$118,000|$146,870|HomeImp|ProfExe|4.5|2|0|20|203.9|1||377|1
ID#00125|$4,500|$90,000|$105,800|HomeImp|Other|6|2|3|10|80.1|3||103|1
ID#00126|$4,700|$67,913|$97,205||Mgr|2|0|0|24|142.8|0|35.2|457|0
ID#00127|$4,700|$71,855|$88,566|HomeImp|Other|2|2|0|5|284|0|36.5|387|0
ID#00128|$4,700|$53,918|$59,511|DebtCon||6||0|15|54.1||34.4|401|0
ID#00129|$4,700|$49,100|$58,238|HomeImp|ProfExe|0.1|0|0|17|61.8|2||392|1
ID#00130|$4,700|$88,026|$115,506|HomeImp|ProfExe|6|0|0|27|182.2|0|29.2|531|0
ID#00131|$4,700|$26,900|$45,000|HomeImp|ProfExe|9|1|2|16|90.5|1||256|1
ID#00132|$4,800|$67,317|$97,191||Mgr|3|0|0|23|137.3|0|34.3|462|0
ID#00133|$4,800|$56,067|$63,102|DebtCon|ProfExe|9|0|3|30|160.1|1|21.6|412|0
ID#00134|$4,800|$80,482|$88,342|HomeImp|ProfExe|7|0|0|11|275|0|43.7|419|0
ID#00135|$4,900|$58,688|$63,348|DebtCon|ProfExe|9|0|3|31|179.2|2|22.5|400|0
ID#00136|$4,900|$65,873|$90,408||Mgr|2|0|0|23|141.9|0|37.8|433|0
ID#00137|$4,900|$25,597|$23,031|HomeImp|Other|5|0|0|8|101.7|0|33.2|435|1
ID#00138|$4,900|$67,794|$84,630|HomeImp|Other|4|0|0|15|112.6|0|41.7|374|0
ID#00139|$4,900|$44,000|$59,745|HomeImp|Other|10|0|0|13|81.5|3||370|1
ID#00140|$4,900||$28,438|HomeImp|||||||||467|0
ID#00141|$4,900|$170,986|$245,300|DebtCon|Sales||0|0|22|131.9|0||461|0
ID#00142|$4,900|$65,576|$65,774|HomeImp|Other|6|1|2|14|61.6|1|40.6|190|1
ID#00143|$4,900|$57,461|$68,494|DebtCon|ProfExe|8|0|4|30|183.6|0|22.8|367|0
ID#00144|$4,900||$69,706|||||||||33.7|422|0
ID#00145|$5,000||$34,846|HomeImp||||||||33.4|447|0
ID#00146|$5,000|$47,479|$61,690|DebtCon||5||0|16|65||36.7|388|0
ID#00147|$5,000|$66,839|$87,168|HomeImp|Other|4|0|0|15|122.6|0|40.6|388|0
ID#00148|$5,000|$12,457|$53,448|HomeImp|Self||0|0|12|207.1|0|44.1|389|0
ID#00149|$5,000|$90,059|$113,714|HomeImp|ProfExe|7|0|0|28|193.6|0|25.9|567|0
ID#00150|$5,000|$22,320|$34,900|HomeImp|Other|10|0|0|5|65.7|1||377|1
ID#00151|$5,000|$40,000|$70,500|HomeImp|Mgr|0.4|0|0|8|61.8|2||317|1
ID#00152|$5,000|$100,882|$102,700|HomeImp|Mgr|5|0|1|16|58.9|0||295|1
ID#00153|$5,000|$31,000|$47,350|HomeImp|ProfExe|12|||||||447|1
ID#00154|$5,000|$63,125|$126,500|HomeImp|Office|3|0|0|14|100.3|0||418|1
ID#00155|$5,000|$100,000|$129,694|HomeImp|Mgr|13|||||||317|1
ID#00156|$5,000||$132,000|HomeImp|Other|17.5|0|2|14|121.9|0||313|1
ID#00157|$5,000||$9,100|HomeImp|Other|1|0|0|8|54.7|2||364|1
ID#00158|$5,000|$34,200|$50,830|HomeImp|Other|6|0|0|9|57|1||379|1
ID#00159|$5,000||$71,277|HomeImp|Other|10|0|0|12|72.4|1||390|1
ID#00160|$5,000|$123,000|$157,500|HomeImp|Mgr|9|||||||317|1
ID#00161|$5,000|$16,600|$25,250|HomeImp|Other|6|0|0|3|88.7|1||384|1
ID#00162|$5,000||$52,000|HomeImp|Other||0|1|6|285.3|0||427|1
ID#00163|$5,000|$22,700|$34,225|HomeImp|Other|4|0|0|9|74.6|3||362|1
ID#00164|$5,000|$6,000|$38,575|HomeImp|Self|7|0|1|42|335|3||476|1
ID#00165|$5,000||$74,500|HomeImp|Other|19|||||||410|1
ID#00166|$5,000||$94,119|HomeImp|Other|19|||||||410|1
ID#00167|$5,000|$73,126|$87,500|DebtCon|Other|1|0|0|10|126|2||403|0
ID#00168|$5,000|$72,517|$86,250|DebtCon|Mgr|19|0|1|24|300.4|1||448|0
ID#00169|$5,000|$26,037|$35,000|HomeImp|ProfExe|12|0|0|13|182.6|0||480|0
ID#00170|$5,000|$39,000|$50,340|HomeImp|Office|10|||19|179.8|||460|0
ID#00171|$5,000||$26,550|DebtCon|Other|1.7|0|0|14|277|1||485|0
ID#00172|$5,000|$70,470|$77,908|DebtCon||5|||||||461|0
ID#00173|$5,000||$36,375|HomeImp|Other|3|0|0|26|266.8|1||508|0
ID#00174|$5,000|$74,225|$89,640|DebtCon|ProfExe|0.3|||||||485|0
ID#00175|$5,000||$65,400|HomeImp|Office|1.5|0|0|4|51.8|0||384|0
ID#00176|$5,000||$37,500|HomeImp|Other||0|3|5|107.1|10||114|1
ID#00177|$5,000|$78,565|$98,500|DebtCon|ProfExe|24|0|0|14|51.8|3||386|0
ID#00178|$5,000|$59,900|$80,800|DebtCon|ProfExe|15|0|0|18|219.1|1||487|0
ID#00179|$5,000|$10,171|$26,809|HomeImp|Office|13|3|6|24|228.3|0||0|1
ID#00180|$5,000|$78,893|$82,600|HomeImp|Mgr|16|0|0|34|133.9|1||396|1
ID#00181|$5,000|$85,165|$107,940|HomeImp|Mgr|6|5|3|28|122.8|5|||1
ID#00182|$5,000|$68,000|$75,616|DebtCon|ProfExe|0.1|0|0|30|131.9|0||414|1
ID#00183|$5,000|$71,571|$85,100|DebtCon|ProfExe|1.4|0|1|13|82.1|0||312|1
ID#00184|$5,000|$28,000|$36,810|DebtCon|Other|2|1|0|6|222.2|1||383|1
ID#00185|$5,000|$40,000|$32,480|HomeImp|Other|8|3|2|16|163.4|1||183|1
ID#00186|$5,000|$81,748||DebtCon|ProfExe|14|1|2|17|144.1|2||217|1
ID#00187|$5,000|$44,674|$59,375|HomeImp|Office|10|||19|178.7||26.4|543|0
ID#00188|$5,000|$61,999|$75,021|HomeImp|Other|5|0|0|23|97.1|0||428|1
ID#00189|$5,000|$80,153|$97,275|DebtCon|Other|1|0|0|10|120.7|2|37.5|383|0
ID#00190|$5,000|$68,739|$93,435||Mgr|3|0|0|23|148.7|0|36.7|445|0
ID#00191|$5,000|$51,209|$55,320|DebtCon||5||1|15|69.1||35|346|0
ID#00192|$5,000|$46,696|$85,202|HomeImp|Other|2|1|2|14|148.3|0|46.5|187|1
ID#00193|$5,000||$46,281|HomeImp|Other|2|0|0|26|257.7|0|41|458|0
ID#00194|$5,000|$66,435|$82,819|HomeImp|Other|2|0|0|14|125.1|0|42.2|374|0
ID#00195|$5,100|$179,725|$251,962|DebtCon|Sales||0|0|22|127.5|0|40.3|403|0
ID#00196|$5,100|$85,583|$115,341|HomeImp|ProfExe|7|0|0|28|178|1|26.3|545|0
ID#00197|$5,100|$72,891|$80,691|HomeImp|Other|1|1|0|6|273.9|0|39.9|401|0
ID#00198|$5,100|$30,755|$46,735|HomeImp|Other|10|0|0|17|69|0||408|1
ID#00199|$5,100||$26,715|DebtCon|Other|1|0|0|14|258.8|0|26.7|568|0
ID#00200|$5,100|$87,258|$121,382|HomeImp|ProfExe|6|0|0|28|181.7|0|25.4|566|0
ID#00201|$5,100||$28,291|DebtCon|Other|2|0|0|14|277.9|1|23.6|591|0
ID#00202|$5,100|$9,900|$30,451|HomeImp|Other|11|0|0|2|21.2|0||366|1
ID#00203|$5,100|$93,000|$116,875|HomeImp|Other|10|||50|417.6|2||593|0
ID#00204|$5,100|$15,500|$34,000|DebtCon|Other|0|1|2|13|86.2|2||210|1
ID#00205|$5,100|$129,319|$141,875|HomeImp|Sales|7|1|0|36|157.9|0|25.7|519|1
ID#00206|$5,100|$66,834|$87,361|HomeImp|Other|0|2|0|6|290|0|38.8|371|0
ID#00207|$5,100|$73,882|$96,031|DebtCon|Other|0|0|0|10|125.8|1|34.4|425|0
ID#00208|$5,100|$74,071|$97,064|DebtCon|Other|0|0|0|9|121.1|2|36.4|392|0
ID#00209|$5,100|$62,702|$79,784|HomeImp|Other|2|0|0|15|108.1|0|43.3|359|0
ID#00210|$5,200||$36,425|DebtCon|Other|2|0|0|14|266.8|1|23.8|585|0
ID#00211|$5,200|$67,000|$77,000|HomeImp|Other|9|0|1|25|119.7|0||400|0
ID#00212|$5,200|$43,039|$53,521|HomeImp|Office|11|||19|184.3||24.4|564|0
ID#00213|$5,200|$19,000|$26,000|DebtCon|Other|0|1|0|7|17.2|10||209|0
ID#00214|$5,200||$9,500|DebtCon|Other|1|0|1|2|81.1|1||307|1
ID#00215|$5,200|$91,250|$110,000|HomeImp|Office|24|0|0|12|123.8|1||414|0
ID#00216|$5,200|$16,324|$45,187|HomeImp|Self||0|0|11|221.1|0|42.7|406|0
ID#00217|$5,200|$40,564|$39,527|HomeImp|Other|0|0|0|13|157.8|1|72.7|104|1
ID#00218|$5,300|$73,698|$84,427|DebtCon||4||||||19.1|572|0
ID#00219|$5,300|$66,987|$65,111|HomeImp|Sales|4|1|0|22|175.3|1|40.4|364|0
ID#00220|$5,300|$26,908|$36,078|HomeImp|Other||0|0|8|302.4|0|39.2|467|1
ID#00221|$5,300||$49,396|HomeImp||0|0|0|0||0|12|630|0
ID#00222|$5,300|$44,993|$50,673|HomeImp|Office|7|||18|184.7||27.9|532|0
ID#00223|$5,300|$51,000|$64,000|HomeImp|Mgr|10|1|0|12|98.3|0||317|1
ID#00224|$5,300|$75,958|$91,703|DebtCon|Other|0|0|0|10|124.2|1|34.6|423|0
ID#00225|$5,300|$97,132|$117,343|HomeImp|Office|22|0|0|11|109.9|1|35.8|408|0
ID#00226|$5,300|$60,826|$80,826|HomeImp|Mgr|10||1|25|212.9|0|38.6|402|0
ID#00227|$5,300|$83,552|$96,809|DebtCon|ProfExe|0||||||28.4|527|0
ID#00228|$5,300|$47,449|$63,895|HomeImp|Office|19|0|0|20|208.2|0|19.8|617|0
ID#00229|$5,300|$50,934|$62,957|HomeImp|Office|21|0|0|20|197.2|0|19.4|616|0
ID#00230|$5,400|$53,429|$64,505|DebtCon||5||0|16|69.5||36.5|392|0
ID#00231|$5,400||$65,474|HomeImp|Office|1|0|0|4|40.7|0|37.8|363|0
ID#00232|$5,400|$47,844|$52,040|HomeImp|Office|8|||18|189||24.7|562|0
ID#00233|$5,400|$45,509|$57,453|DebtCon|Sales|4|0|0|22|95.6|0||377|1
ID#00234|$5,400|$59,720|$63,450|HomeImp|ProfExe|5|0|1|20|199.9|1||412|1
ID#00235|$5,400|$86,922|$119,846|HomeImp|ProfExe|5|0|0|28|185.1|1|26.4|548|0
ID#00236|$5,400|$68,625|$82,304|DebtCon|Sales|2|0|0|30|136.6|0|32.1|492|0
ID#00237|$5,400|$65,814|$85,848|HomeImp|Other|4|0|0|15|122.9|0|44.1|358|0
ID#00238|$5,400||$75,254|||||||||23.2|516|0
ID#00239|$5,400|$78,300|$88,000|HomeImp|ProfExe|8|0|0|19|102.5|3||401|1
ID#00240|$5,400|$48,152|$55,760|DebtCon||6||0|16|78.5||35.8|402|0
ID#00241|$5,500|$70,481|$82,446|HomeImp|Other|8|0|1|24|116.6|0|37.6|369|0
ID#00242|$5,500||$35,402|HomeImp||||||||35.3|431|0
ID#00243|$5,500|$87,765|$101,053|DebtCon|ProfExe|22|0|0|13|55.6|2|31.4|415|0
ID#00244|$5,500|$52,897|$65,054|HomeImp|Office|20|0|0|19|189.3|0|20.7|600|0
ID#00245|$5,500|$24,700|$35,675|DebtCon|Other|1|0|3|27|153.9|3||236|1
ID#00246|$5,500||$43,132|HomeImp|Other||||||||411|1
ID#00247|$5,500|$43,486|$81,600|DebtCon||4|0|0|30|216.1|4||480|0
ID#00248|$5,500|$21,359|$30,000|DebtCon|Other|7|3|2|14|130.8|3||127|1
ID#00249|$5,500||$13,770|HomeImp|Mgr|5|0|1|8|167.4|1||318|1
ID#00250|$5,500|$93,051|$115,374|HomeImp|ProfExe|6|0|0|27|187|1|27.6|536|0
ID#00251|$5,500|$87,438|$116,679|HomeImp|ProfExe|6|0|0|27|186.4|1|28.4|529|0
ID#00252|$5,500|$78,059|$78,179|DebtCon||5||||||20.7|558|0
ID#00253|$5,500|$72,147|$69,918|HomeImp|Sales|4|2|0|23|158.5|0|43.4|299|0
ID#00254|$5,500|$40,584|$46,645|HomeImp|Other|4|0|1|13|136.3|0|34.5|390|1
ID#00255|$5,500||$12,972|HomeImp|Other|1|0|1|2|82.3|0|37|329|1
ID#00256|$5,500|$37,368|$48,502|HomeImp|Mgr|9|0|2|10|49|0|33.1|304|1
ID#00257|$5,500||$66,251|HomeImp|Office|1|0|0|3|43.7|0|41.5|331|0
ID#00258|$5,500|$71,644|$72,696|HomeImp|Sales|4|2|0|22|150.9|0|40.4|321|0
ID#00259|$5,500|$85,845|$122,205|DebtCon|ProfExe|5|0|0|26|172.2|1|32.7|483|1
ID#00260|$5,600|$53,793|$66,379|HomeImp|Office|22|0|0|19|206.1|0|18.4|627|0
ID#00261|$5,600|$69,435|$83,489|DebtCon|ProfExe|14|0|0|17|200.4|1|22.8|570|0
ID#00262|$5,600|$29,648|$39,907|HomeImp|ProfExe|11|0|0|13|180.6|0|21.6|580|0
ID#00263|$5,600|$76,407|$77,485|HomeImp|Other|9|0|0|24|91.7|0|37.8|414|0
ID#00264|$5,600|$5,000|$66,700|HomeImp|Other|31|1|1|11|204.1|0||355|1
ID#00265|$5,600|$55,160|$86,800|HomeImp|Other|3|1|1|14|148.1|1||323|1
ID#00266|$5,600|$41,439|$53,893|HomeImp|Office|8|||19|181.3||24.7|561|0
ID#00267|$5,600|$15,275|$47,954|HomeImp|Self||0|0|12|204.3|0|42.4|404|0
ID#00268|$5,700|$100,934|$111,496|HomeImp|Office|23|0|0|12|117.5|0|38.8|400|0
ID#00269|$5,700||$74,685|||||||||24.3|507|0
ID#00270|$5,700|$49,514|$58,249|HomeImp|Office|21|0|0|21|212.5|0|21.3|607|0
ID#00271|$5,700|$76,948|$85,753|HomeImp|Other|7|0|0|25|128.5|0|37.9|430|0
ID#00272|$5,700|$28,127|$36,524|HomeImp|ProfExe|10|0|0|13|181.3|0|24.3|556|0
ID#00273|$5,700||$68,591|HomeImp|Office|0|0|0|4|69.6|0|41.2|347|0
ID#00274|$5,700|$26,927|$35,461|DebtCon|Other|0|1|0|6|21.8|10|29.4|265|0
ID#00275|$5,700|$49,806|$82,242|DebtCon||3|0|0|30|210.3|3|31.2|494|0
ID#00276|$5,700|$70,000|$84,579|DebtCon|Sales|0.1|0|0|17|95.9|1||358|1
ID#00277|$5,700|$58,400|$75,000|HomeImp|ProfExe|4|0|0|26|177.5|2||455|1
ID#00278|$5,700|$80,437|$109,647|HomeImp|ProfExe|9.5|0|0|14|104.4|0||432|1
ID#00279|$5,700|$77,213|$92,661|DebtCon|Sales|0|0|0|16|97.1|1|41.8|357|1
ID#00280|$5,700|$62,319|$82,923|HomeImp|Other|4|0|0|15|117.7|0|42.5|371|0
ID#00281|$5,700|$71,556|$79,538|HomeImp|Other|2|0|0|15|92.6|0|41.2|371|0
ID#00282|$5,700||$39,052|HomeImp|Other|3|0|0|25|272.2|0|39.9|473|0
ID#00283|$5,700|$74,172|$79,846|DebtCon|ProfExe|0|0|0|28|157|0|47.4|362|1
ID#00284|$5,700|$28,116|$33,450|DebtCon|Other|0|1|0|7|15.4|9|30|270|0
ID#00285|$5,700||$64,910|||||||||33.9|422|0
ID#00286|$5,700||$69,172|HomeImp|Office|1|0|0|3|48.9|0|38.8|358|0
ID#00287|$5,800||$36,385|HomeImp|Other|2|0|0|25|266.6|1|43.3|428|0
ID#00288|$5,800||$41,119|HomeImp|Other|2|0|0|26|261.4|0|42.2|450|0
